gpsc	stCount	st
33	34	4088, 5072, 7888, 9568, 10543, 10548, 10592, 10635, 10651, 10667, 10670, 10800, 10853, 10862, 10950, 10981, 11055, 11072, 11080, 11089, 11090, 11107, 11111, 11113, 11770, 11771, 11772, 12123, 12137, 12143, 12550, 12551, 12592, 12743
34	38	1778, 3583, 4038, 4832, 5641, 7067, 7319, 9546, 10544, 10615, 10662, 10679, 10680, 10697, 10710, 10865, 10940, 10960, 10963, 10971, 10982, 10987, 11064, 11746, 12382, 12389, 12408, 12413, 12588, 12597, 12687, 12719, 12805, 15619, 15802, 15872, 16972, 17043
35	12	97, 585, 1282, 1551, 4753, 8821, 8825, 10938, 10978, 12282, 12741, 16939
36	12	446, 498, 816, 1635, 2068, 3290, 4849, 10318, 10864, 10919, 10954, 12705
37	68	750, 751, 874, 2421, 2909, 4929, 4977, 4978, 5293, 5419, 5445, 6041, 6290, 6393, 6527, 6785, 7084, 7306, 7312, 7585, 7724, 8379, 8391, 8771, 9601, 9902, 10659, 10695, 10707, 10743, 10751, 10760, 10763, 10770, 10775, 10788, 10815, 10959, 10976, 11048, 11067, 11695, 11787, 12248, 12514, 12557, 12607, 12841, 13616, 14450, 14526, 14550, 14551, 14565, 14566, 14567, 15930, 16812, 16829, 16864, 16891, 16913, 16942, 16947, 16953, 16959, 17109, 17136
38	13	310, 393, 755, 5475, 6045, 6355, 9325, 11082, 12764, 12774, 13935, 13945, 14781
39	8	124, 129, 656, 2215, 9917, 10831, 12478, 12753
40	40	910, 2528, 4903, 4934, 5266, 5355, 5681, 6023, 7054, 7117, 8502, 9459, 9470, 9483, 9522, 9903, 10600, 10605, 10626, 10636, 10638, 10923, 10939, 10983, 11039, 11057, 11697, 12158, 12162, 12193, 12246, 12252, 12395, 12409, 12613, 12844, 15974, 16083, 16860, 16901
41	31	1094, 4226, 4941, 4943, 7251, 8690, 8766, 9909, 10656, 10691, 10708, 10729, 10749, 10785, 10820, 11091, 11117, 12538, 12566, 12569, 16874, 16880, 16888, 16896, 16911, 16922, 17096, 17102, 17110, 17124, 17137
43	42	239, 280, 1263, 1651, 2039, 2240, 3214, 4128, 4352, 4660, 4661, 4745, 5492, 5719, 6011, 6053, 7664, 8605, 10882, 10901, 11508, 11739, 11758, 12304, 12404, 12406, 12494, 12745, 13912, 13937, 14217, 14503, 15539, 15581, 15596, 15858, 16015, 16042, 16087, 16161, 16164, 16219
44	22	77, 177, 179, 646, 1167, 3013, 7024, 7431, 9146, 12317, 12418, 12510, 12512, 12513, 13906, 13911, 13943, 15591, 15599, 15605, 15606, 15791
45	18	547, 743, 1439, 1884, 2832, 3783, 4560, 5447, 10157, 10924, 12204, 12373, 15366, 15989, 16066, 16777, 16809, 17084
46	15	30, 570, 1500, 3450, 10584, 10673, 10733, 10858, 11054, 11079, 11120, 12464, 13949, 16213, 16903
47	35	149, 315, 386, 457, 1093, 2040, 3324, 4220, 4310, 4378, 4723, 5060, 6046, 6361, 6846, 6984, 7109, 8599, 9564, 9600, 10672, 10681, 10930, 10966, 11315, 12269, 12303, 12367, 13890, 14611, 14612, 15966, 16000, 16061, 16299
